space_id,lead_time,+1 standard,-1 standard,weekday1 timegroup1 acc,weekday1 timegroup2 acc,weekday1 timegroup3 acc,weekday1 timegroup4 acc,weekday2 timegroup1 acc,weekday2 timegroup2 acc,weekday2 timegroup3 acc,weekday2 timegroup4 acc,weekday3 timegroup1 acc,weekday3 timegroup2 acc,weekday3 timegroup3 acc,weekday3 timegroup4 acc,weekday4 timegroup1 acc,weekday4 timegroup2 acc,weekday4 timegroup3 acc,weekday4 timegroup4 acc,weekday5 timegroup1 acc,weekday5 timegroup2 acc,weekday5 timegroup3 acc,weekday5 timegroup4 acc,weekday6 timegroup1 acc,weekday6 timegroup2 acc,weekday6 timegroup3 acc,weekday6 timegroup4 acc,weekday7 timegroup1 acc,weekday7 timegroup2 acc,weekday7 timegroup3 acc,weekday7 timegroup4 acc
64,573.9722065798773,2213.631309018715,-2213.631309018715,0.049434063649294396,0.08765935286576086,0.15075490576185005,0.24697156483612592,0.04977852845265318,0.08824545040837575,0.15169272329322728,0.2483329035477356,0.050125266972175016,0.08883508508124797,0.1526353262632641,0.24969925789713776,0.050474292447550265,0.08942827312003697,0.15358272604106046,0.25107061898228783,0.05082561817080052,0.0900250307658399,0.15453493385434827,0.2524469775675278,0.03946813191230686,0.07055920730875442,0.12300586598601905,0.2058040711697818,0.0397460561171406,0.07103987448615172,0.12379622542407448,0.20700086784725957
65,579.4002385077378,2286.8877560138435,-2286.8877560138435,0.05003072932353148,0.08867435518861308,0.152378466793978,0.24932711775470898,0.050379131440338454,0.08926657511533857,0.15332456073763825,0.25069711792394256,0.05072983018446037,0.08986236023107452,0.15427545967701306,0.2520721181384565,0.051082838885916686,0.09046172678019214,0.1552311747354366,0.25345210891872694,0.05143817092678,0.09106469101060752,0.15619171689079872,0.2548370804489144,0.03994956485512084,0.07139170193288982,0.12437434922519772,0.20787536954044236,0.04023073719279449,0.07187760169916563,0.12517224667100968,0.20908104028218275
66,403.8456679345318,2219.1103034924845,-2219.1103034924845,0.012264219891604582,0.024948116135353464,0.05008477955137985,0.09800249762324695,0.01426019565418713,0.028947870701224426,0.057875312909031446,0.11236482067138973,0.016575560962211473,0.03356680202489245,0.0667924335918102,0.12853202166927769,0.01925951687931706,0.038893212749081474,0.07697120955695044,0.14664108997386593,0.02236818069339314,0.04502544591684577,0.08855397620240267,0.16681318972950607,0.01786601651294427,0.03613147409690057,0.07170735134729099,0.1373215258380273,0.020754516361835854,0.041847227476833886,0.08256886115602743,0.15644664795258453
67,436.4080610380118,2146.039615033581,-2146.039615033581,0.014986166288613607,0.03139622915342309,0.06459711986288627,0.12825827716062618,0.017732541765674133,0.03703684818029087,0.07573618426187267,0.14863071442206377,0.02097150436213236,0.04364519268431513,0.08861409285873004,0.1716020985505359,0.024787155027508227,0.051369739297102285,0.10343665850163239,0.1973010210085965,0.029276282447260188,0.060375107695357984,0.12041103624901152,0.2257995447653969,0.017417386409835395,0.036391313836054574,0.07446830077962677,0.14633572706857587,0.020599991106405938,0.04288960812873106,0.087150951156168,0.16902283149193756
68,513.1567253750818,2056.399500504749,-2056.399500504749,0.016250190293793692,0.031903768537829585,0.061690626101718965,0.1159568131264119,0.017402696851632298,0.03412795385410946,0.06585016419657926,0.12329450357933237,0.018635393831808678,0.03650135280717767,0.07026915895261827,0.13102769989823973,0.01995363413173094,0.03903313743610229,0.07496090212841669,0.13916893756932558,0.02136309486253886,0.04173292389115159,0.07993897015372795,0.14773002411366531,0.019964160678945443,0.039053328291931345,0.07499822708830912,0.1392334212306089,0.02137434875456737,0.04175445059837807,0.07997855951340598,0.14779779347661212
69,436.00036118003874,2133.6507689684763,-2133.6507689684763,0.027386810081933673,0.05296848568230434,0.09998911372987744,0.1807823704693907,0.030318725936148642,0.05847441618723714,0.10981594664935201,0.19681311626219755,0.0335536919439851,0.06451368521125901,0.1204792688825792,0.2138942253914267,0.0371206109376186,0.07112957147762919,0.1320244528245588,0.23202952058076753,0.041050604581203624,0.07836708208550076,0.14449422063630035,0.2512110706810612,0.029378439298770286,0.05671199547120568,0.10668142584565705,0.1917302374787777,0.032516442313612975,0.06258133949795264,0.11708041215500581,0.2084847176428845
70,486.8224729748223,2234.5421832178877,-2234.5421832178877,0.07003594116228035,0.12214477011943038,0.20449850844872192,0.32201012399243334,0.07051331415320432,0.12293037224469201,0.2056896792836081,0.32360733434713396,0.07099369257494367,0.12372031503795854,0.20688598403332417,0.3252086669766722,0.07147709195564386,0.1245146133136723,0.20808742382178513,0.32681409495280755,0.07196352785708256,0.12531328181629509,0.2092939995072727,0.32842359099020746,0.05616205198053311,0.0990477218657295,0.16882357438384943,0.2728669468802218,0.056550609462980246,0.09970164191086513,0.16985131300613707,0.2743190262972689
71,518.0603253745317,2156.0834073133883,-2156.0834073133883,0.026621173577702134,0.05728325148730992,0.11894606269097203,0.23073958017776475,0.02621615796544703,0.056438790203831815,0.11730569048997413,0.2279563703764346,0.02581714084304483,0.05560604354619045,0.11568497012283012,0.2251969041445377,0.025424038309944816,0.05478487054286278,0.11408374789281747,0.22246121668433586,0.025036767489549645,0.05397513128355482,0.11250186900239899,0.21974933674888608,0.02455265173145109,0.05296185399062057,0.11051822413627291,0.21633564109599923,0.02417832497829577,0.052177572141926885,0.10897970288916406,0.213677912967115
72,300.0286136236738,1993.5749674559104,-1993.5749674559104,0.06977262467866754,0.1217111791853849,0.20384045948434507,0.3211265838411059,0.07024833845092472,0.12249438170687395,0.20502878519688802,0.32272149777101994,0.07072704906154051,0.12328191665534627,0.2062222440877222,0.3243205487478169,0.0712087720197498,0.12407379888321796,0.20742083742698206,0.32592371004156573,0.0716935228687655,0.12487004317397545,0.20862456622048062,0.3275309545647582,0.05594775948819294,0.09868690391632218,0.168256041922124,0.27206413829438586,0.05633492287787663,0.09933870447050061,0.16928102925398258,0.27351355251467835
73,344.2155400248495,2080.7635000885016,-2080.7635000885016,0.019626812047461716,0.050705409166664266,0.12473486510682748,0.2754816010425586,0.017778075875654994,0.046066799732905644,0.11413819559899728,0.2558215221903121,0.016100620431792532,0.04183383720482021,0.10433444107587975,0.23710534261213695,0.014579092479096781,0.03797434732876185,0.0952821943427698,0.21935484385589873,0.013199421791612284,0.034458119671547265,0.08693910208523414,0.2025803386066438,0.014555880377967841,0.03791531966721606,0.09514289671795263,0.21907808163790699,0.013178376956611055,0.03440436220034394,0.08681083126760579,0.2023192557463023
