"id","space_id","device_info_id","created_at","updated_at"
"1403","101","2","18/9/2018 19:11:29","18/9/2018 19:11:29"
"1404","101","14","18/9/2018 19:11:29","18/9/2018 19:11:29"
"1405","101","15","18/9/2018 19:11:29","18/9/2018 19:11:29"
"1406","102","2","18/9/2018 19:11:32","18/9/2018 19:11:32"
"1407","102","14","18/9/2018 19:11:32","18/9/2018 19:11:32"
"1408","102","15","18/9/2018 19:11:33","18/9/2018 19:11:33"
"1409","103","2","18/9/2018 19:12:39","18/9/2018 19:12:39"
"1410","103","11","18/9/2018 19:12:39","18/9/2018 19:12:39"
"1411","103","14","18/9/2018 19:12:39","18/9/2018 19:12:39"
"1412","103","15","18/9/2018 19:12:39","18/9/2018 19:12:39"
"1413","104","2","18/9/2018 19:12:42","18/9/2018 19:12:42"
"1414","104","14","18/9/2018 19:12:42","18/9/2018 19:12:42"
"1415","104","15","18/9/2018 19:12:42","18/9/2018 19:12:42"
"1416","105","2","18/9/2018 19:12:45","18/9/2018 19:12:45"
"1417","105","11","18/9/2018 19:12:45","18/9/2018 19:12:45"
"1418","105","14","18/9/2018 19:12:45","18/9/2018 19:12:45"
"1419","105","15","18/9/2018 19:12:45","18/9/2018 19:12:45"
"1454","121","2","18/9/2018 19:13:34","18/9/2018 19:13:34"
"1455","121","8","18/9/2018 19:13:34","18/9/2018 19:13:34"
"1456","121","9","18/9/2018 19:13:34","18/9/2018 19:13:34"
"1457","121","14","18/9/2018 19:13:34","18/9/2018 19:13:34"
"1458","121","15","18/9/2018 19:13:34","18/9/2018 19:13:34"
"1459","122","2","18/9/2018 19:13:37","18/9/2018 19:13:37"
"1460","122","9","18/9/2018 19:13:37","18/9/2018 19:13:37"
"1461","122","14","18/9/2018 19:13:37","18/9/2018 19:13:37"
"1462","122","15","18/9/2018 19:13:37","18/9/2018 19:13:37"
"1463","123","2","18/9/2018 19:13:40","18/9/2018 19:13:40"
"1464","123","9","18/9/2018 19:13:40","18/9/2018 19:13:40"
"1465","123","14","18/9/2018 19:13:40","18/9/2018 19:13:40"
"1466","123","15","18/9/2018 19:13:40","18/9/2018 19:13:40"
"1467","124","2","18/9/2018 19:13:44","18/9/2018 19:13:44"
"1468","124","9","18/9/2018 19:13:44","18/9/2018 19:13:44"
"1469","124","14","18/9/2018 19:13:44","18/9/2018 19:13:44"
"1470","124","15","18/9/2018 19:13:44","18/9/2018 19:13:44"
"1471","125","2","18/9/2018 19:13:47","18/9/2018 19:13:47"
"1472","125","9","18/9/2018 19:13:47","18/9/2018 19:13:47"
"1473","125","14","18/9/2018 19:13:47","18/9/2018 19:13:47"
"1474","125","15","18/9/2018 19:13:47","18/9/2018 19:13:47"
"1479","86","2","3/10/2018 15:34:22","3/10/2018 15:34:22"
"1480","86","14","3/10/2018 15:34:22","3/10/2018 15:34:22"
"1481","86","15","3/10/2018 15:34:22","3/10/2018 15:34:22"
"1486","88","2","3/10/2018 15:34:39","3/10/2018 15:34:39"
"1487","88","13","3/10/2018 15:34:39","3/10/2018 15:34:39"
"1488","88","14","3/10/2018 15:34:39","3/10/2018 15:34:39"
"1489","88","15","3/10/2018 15:34:39","3/10/2018 15:34:39"
"1490","89","2","3/10/2018 15:34:51","3/10/2018 15:34:51"
"1491","89","14","3/10/2018 15:34:51","3/10/2018 15:34:51"
"1492","89","15","3/10/2018 15:34:51","3/10/2018 15:34:51"
"1493","85","2","3/10/2018 15:34:55","3/10/2018 15:34:55"
"1494","85","9","3/10/2018 15:34:55","3/10/2018 15:34:55"
"1495","85","14","3/10/2018 15:34:55","3/10/2018 15:34:55"
"1496","85","15","3/10/2018 15:34:55","3/10/2018 15:34:55"
"1497","21","2","3/10/2018 15:44:20","3/10/2018 15:44:20"
"1498","21","10","3/10/2018 15:44:20","3/10/2018 15:44:20"
