id,order_id,space_id,score,can,comment,created_at,updated_at,activity,is_pay,people
3524,101318,15,7,1,空間很舒適，乾淨，交通也方便。唯一缺點一直有濃濃的菸味飄進，對菸味敏感的實在難受,10APR19:21:12:13,10APR19:21:12:13,1,0,-12
3525,99436,76,4,1,內部有異味,11APR19:09:51:15,11APR19:09:51:15,7,0,3
3526,102438,102,2,1,當時wifi不穩的 一直斷線 造成面試取消,11APR19:12:14:42,11APR19:12:14:42,18,0,1
3527,106676,148,10,1,面積寬敞舒適，投影機效果好,11APR19:13:52:45,11APR19:13:52:45,7,0,18
3528,106834,148,10,1,距捷運站近，很容易找。,11APR19:13:54:04,11APR19:13:54:04,7,0,18
3529,106385,83,10,1,,11APR19:14:24:27,11APR19:14:24:27,11,1,5
3530,104255,152,10,1,,11APR19:18:34:20,11APR19:18:34:20,6,1,2
3531,98481,16,10,1,,12APR19:00:08:00,12APR19:00:08:00,11,0,16
3532,106897,139,10,1,,12APR19:11:54:13,12APR19:11:54:13,7,0,8
3533,106605,144,4,1,當天一進601後，不知道是否太久沒有出租，一開冷氣就有一股粉塵揚起的味道。由於我本身鼻子較易過敏，導致在使用期間鼻子一直不舒服；最後不得不把冷氣風量轉最小，維持最低限度的空調，並載上口罩才繼續待在裡面。,12APR19:14:35:19,12APR19:14:35:19,1,0,2
3534,80058,24,7,1,最近進去都覺得浴室黴味越來越重，覺得沒認真打掃，浴室沒通風……希望能改善，謝謝。,12APR19:14:38:20,12APR19:14:38:20,7,1,8
3535,107132,89,9,0,牆壁跟樑偶爾會有粉末掉下來。,12APR19:18:39:27,12APR19:18:39:27,1,0,1
3536,106681,18,5,1,隔音不佳，隔壁房間聚會唱聖歌，影響我們，直到我們過去告知，他們才降低音量。,12APR19:22:06:03,12APR19:22:06:03,7,0,7
3537,105632,101,9,1,環境不錯,12APR19:23:18:52,12APR19:23:18:52,6,0,2
3538,106896,63,10,1,,13APR19:13:53:14,13APR19:13:53:14,19,0,10
3539,107222,124,9,0,可否提供瓶裝水或是裝設飲水機，謝謝！,13APR19:18:32:28,13APR19:18:32:28,1,1,8
3540,92653,79,9,0,,13APR19:19:12:56,13APR19:19:12:56,4,1,10
3541,106546,149,10,1,201挺好的，空間也足夠大，乾淨,13APR19:19:42:14,13APR19:19:42:14,7,0,10
3542,107587,25,10,1,離轉運站不到五分鐘，地點方便場地寬敞讚！,13APR19:23:30:00,13APR19:23:30:00,7,0,15
3543,107055,159,9,1,環境很新很棒，整理得很乾淨，廁所也很乾淨，空間大小兩人使用剛剛好，隔音的部分，在裡面會聽到外面走廊人交談走動的聲音，如果可以改善這點就更棒了！,13APR19:23:31:35,13APR19:23:31:35,6,0,2
